Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),Speed(mph),Speed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.9,0m 0.9s,51.93767586,5.70387255,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,783,,,,GEO: You are in a Warning Zone (Class D Airspace). Fly with caution.,
2,1,0m 1s,51.93767586,5.70387255,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,880,,,,,
3,1.1,0m 1.1s,51.93767586,5.70387255,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,963,,,,,
4,1.2,0m 1.2s,51.93767597,5.70387244,P-GPS,0.0,0.0,1.1,0.5,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1023,1024,,,,,
5,1.4,0m 1.4s,51.93767597,5.70387245,P-GPS,0.0,0.0,0.7,0.3,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,1024,,,,,
6,1.5,0m 1.5s,51.93767596,5.70387245,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,1024,,,,,
7,1.6,0m 1.6s,51.93767597,5.70387245,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.3,1024,1024,1024,1024,1024,,,,,
8,1.7,0m 1.7s,51.93767597,5.70387245,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.7,-0.3,15.3,1024,1024,1024,1024,1024,,,,,
9,1.8,0m 1.8s,51.93767597,5.70387235,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1023,1024,,,,,
10,1.9,0m 1.9s,51.93767597,5.70387236,P-GPS,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
11,2,0m 2s,51.93767607,5.70387236,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
12,2.1,0m 2.1s,51.93767607,5.70387235,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
13,2.2,0m 2.2s,51.93767607,5.70387235,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,RTH Altitude: 30M
14,2.3,0m 2.3s,51.93767607,5.70387235,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
15,2.4,0m 2.4s,51.93767606,5.70387235,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
16,2.5,0m 2.5s,51.93767606,5.70387234,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
17,2.6,0m 2.6s,51.93767606,5.70387224,Manual Takeoff,0.0,0.0,1.5,0.7,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
18,2.7,0m 2.7s,51.93767606,5.70387224,Manual Takeoff,0.0,0.0,1.5,0.7,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
19,2.8,0m 2.8s,51.93767616,5.70387223,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
20,2.9,0m 2.9s,51.93767616,5.70387223,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.09,0.003,3.771,3.773,3.772,3.774,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1024,,,,,
21,3,0m 3s,51.93767616,5.70387213,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.025,0.015,3.754,3.748,3.76,3.763,0,0,0,-0.8,-0.3,15.4,1024,1024,1024,1024,1034,,,,,
22,3.1,0m 3.1s,51.93767616,5.70387212,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.025,0.015,3.754,3.748,3.76,3.763,0,0,0,-0.8,-0.3,15.5,1024,1024,1024,1024,1097,,,,,
23,3.2,0m 3.2s,51.93767616,5.70387212,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.025,0.015,3.754,3.748,3.76,3.763,0,0,0,-0.8,-0.3,15.5,1024,1024,1024,1024,1148,,,,,
24,3.3,0m 3.3s,51.93767616,5.70387212,Manual Takeoff,0.0,0.0,0.0,0.0,0.0,0.0,51.93767575,5.70387256,18,32,15.025,0.015,3.754,3.748,3.76,3.763,0,0,0,-0.8,-0.3,15.5,1024,1024,1024,1024,1175,,,,,
